from,to,relationship
JL,SetUp,0
JL,TTP,0
JL,EuAl,0
JL,CoAl,0
JL,USCM,0
MT,RCC,0
MT,VLC,0
MT,VoZu,0
MT,LCVB,0
MT,SAP,0
MT,VCM,0
ET,TTP,0
ET,AlAp,0
ET,EuTw,0
ET,LBA,0
HK,VfBU,0
HK,OlySt,0
HK,BuSt,0
IVV,AsKi,0
IVV,RCC,0
IVV,IBF,0
IVV,CaLj,0
IVV,RRV,0
IVV,CSMT,0
JN,GBL,0
JN,BKS,0
JN,KSP,0
JN,SMS,0
SL,KAF,0
SL,Bey,0
SL,IVC,0
SL,PSU,0
MSP,BVMB,0
MSP,DSC,0
MSP,BSBC,0
MSP,STM,0
MSP,DIT,0
MSP,GHO,0
MSP,CVB,0
HJ,VfBS,0
HJ,VCS,0
HD,MTVSt,0
HD,BuSt,0
KR,UniA,0
KR,BeAn,0
KR,LuBa,0
LB,FVT,0
LB,BuSt,0
LB,VCOB,0
RK,OKN,0
RK,LPV,0
RK,LPK,0
RK,HaLe,0
RK,Ki,0
RK,SoPa,0
LG,MTVj,0
LG,BuSt,0
JL,NED,1
MT,BUL,1
ET,NED,1
HK,GER,1
IVV,BEL,1
JN,POL,1
SL,USA,1
MSP,ESP,1
HJ,NED,1
HD,GER,1
KR,USA,1
LB,GER,1
RK,FIN,1
LG,GER,1
